,Temp,Psi
424,10.85,-0.726530612
425,10.095,-1.575510204
426,12.04,-1.967346939
427,14.14,-1.510204082
428,16.17,-0.563265306
429,19.025,-1.804081633
430,20.59,-1.314285714
431,17.69,-0.4
432,17.095,-1.804081633
433,19.44,-0.955102041
434,19.215,-1.085714286
435,20.24,-0.889795918
436,23.535,-0.563265306
437,24.895,-0.4
438,25.195,-0.824489796
439,24.07,-1.183673469
440,20.91,-0.497959184
441,17.33,-1.281632653
442,17.67,-0.889795918
443,19.575,-0.824489796
444,18.315,-0.4
445,16.625,-1.542857143
446,15.715,-0.791836735
447,17.015,-0.563265306
448,19.91,-1.836734694
449,23.725,-1.73877551
450,24.23,-1.248979592
451,21.695,-1.412244898
452,20.89,-0.857142857
453,20.42,-1.706122449
454,17.97,-1.444897959
455,17.145,-0.385017365
456,16.635,-0.385017365
457,20.355,-0.385017365
458,20.01,-0.385017365
459,15.905,-0.385017365
460,13.765,-0.385017365
461,12.85,-0.385017365
462,13.08,-0.385017365
463,16.185,-0.385017365
464,15.32,-0.385017365
465,16.445,-0.385017365
466,17.86,-0.680798245
467,18.44,-0.901159653
468,17.65,-0.56168397
469,18.885,-0.385017365
470,20.1,-0.385017365
471,20.415,-0.385017365
472,19.895,-0.415768984
473,18.735,-0.616774323
474,16.29,-0.385017365
475,13.845,-0.385017365
476,14.105,-0.385017365
477,13.98,-0.385017365
478,13.53,-0.385017365
479,13.13,-0.385017365
480,15.32,-0.385017365
481,20.64,-0.385017365
482,23.16,-0.689731816
483,24.71,-1.288281046
484,24.41,-1.642646014
485,24.305,-1.511620312
486,20.77,-1.018785
487,17.7,-0.385017365
488,16.085,-0.385017365
489,14.52,-0.385017365
490,14.945,-0.385017365
491,12.55,-0.385017365
492,10.92,-0.385017365
493,13.125,-0.385017365
494,17.08,-0.385017365
495,19.425,-0.385017365
496,16.185,-0.385017365
497,14.905,-0.385017365
498,13.085,-0.385017365
499,13.51,-0.385017365
500,14.37,-0.385017365
501,15.33,-0.385017365
502,15.395,-0.385017365
503,15.835,-0.385017365
504,16.44,-0.385017365
505,15.265,-0.385017365
506,13.585,-0.385017365
507,15.01,-0.385017365
508,15.28,-0.385017365
509,15.63,-0.385017365
510,17.625,-0.385017365
511,17.88,-0.430658268
512,18.74,-1.407395321
513,20.26,-2.108680614
514,21.08,-2.354353806
515,19.295,-2.138459183
516,19.7,-1.277858547
517,18.955,-0.726955027
518,18.415,-0.385017365
519,17.015,-0.385017365
520,17.18,-0.385017365
521,18.08,-0.385017365
522,21.12,-1.794516714
523,25.12,-2.964814464
524,23.385,-1.852584923
525,20.58,-1.124498919
526,19.57,-0.954761077
